australian_appl_no,patent_status_type,examination_section_name,invention_description
2005336910,LAPSED,,Method and system for identification of geographic location
2005336921,LAPSED,,Process to retain nano-structure of catalyst particles before carbonaceous nano-materials synthesis
2005336924,LAPSED,,Enhancing treatment of cancer and HIF-1 mediated disoders with adenosine A3 receptor antagonists
2005336930,GRANTED,CHEM 3 - Pharmaceuticals,Shampoo containing a gel network
2005336935,GRANTED,ELEC 3 - Computing,Pool cleaner with integral chlorine generator
2005336937,LAPSED,MXT - Mixed Technology,Apparatus for enhancing absorption and dissipation of impact forces for sweatbands
2005336938,LAPSED,,"Compositions for impregnating paper products and natural fabrics and methods, processes and assemblages therefor"
2005336940,LAPSED,MECH 2 - Construction and Mining,Safety apparatus and method of use
2005336956,LAPSED,CHEM 3 - Pharmaceuticals,Stable combinations of amlodipine besylate and benazepril hydrochloride
2005336962,LAPSED,,"Long-lasting cosmetic composition, method for using, and process for making"
2005336966,LAPSED,MXT - Mixed Technology,In-line modification of protocol handshake by protocol aware proxy
2005336975,CEASED,MECH 4 - Medical Devices,Process for recovery and purification of lactic acid
2005336980,GRANTED,CHEM 4 - Polymers and Applied Chemistry,Methods of controlling the particle size of titanium dioxide produced by the chloride process
2005336982,GRANTED,ELEC 1 - Physics,Meter electronics and methods for verification diagnostics for a flow meter
2005337047,LAPSED,"Vacant - A1 PBR, Plants and Biotechnology",Composition and methods for inhibiting H. pylori adhesion and infection
2005337051,LAPSED,CHEM 1 - Biotechnology,Method to predict or monitor the response of a patient to an ErbB receptor drug
2005337069,GRANTED,MECH 3 - Process Engineering,Absorbent article comprising hydrophilic and hydrophobic regions
2005337070,LAPSED,,Absorbent article comprising a contraphilic polymer
2005337071,GRANTED,CHEM 4 - Polymers and Applied Chemistry,Absorbent article comprising a thin film including an active agent
2005337085,GRANTED,CHEM 1 - Biotechnology,Method for transferring one or more genetic traits from a plant of the purple-flowered capsicum species to a plant of the white-flowered capsicum species
2005337093,LAPSED,MECH 4 - Medical Devices,Male incontinence product and package therefor
2005337101,LAPSED,CHEM 2 - Chemical Compounds,Y2 selective receptor agonists for therapeutic interventions
2005337107,GRANTED,CHEM 3 - Pharmaceuticals,Pharmaceutical compositions for the treatment of inner ear disorders
2005337115,LAPSED,MECH 3 - Process Engineering,Paper product and method of producing a paper product
2005337116,LAPSED,CHEM 2 - Chemical Compounds,Y4 selective receptor agonists for therapeutic interventions
2005337121,LAPSED,,Compositions having a high antiviral and antibacterial efficacy
2005337132,GRANTED,CHEM 1 - Biotechnology,Transgenic plants with enhanced agronomic traits
2005337139,CEASED,ELEC 1 - Physics,Method for determining composition balance of cooled brine
2005337143,LAPSED,ELEC 3 - Computing,Pay-per-view payment system and method
2005337144,GRANTED,MXT - Mixed Technology,Heel-supporting protective boot
2005337145,LAPSED,MECH 2 - Construction and Mining,Frangible buffer for an elevator system with multiple cars in a hoistway
2005337149,CEASED,MXT - Mixed Technology,Wooden dowel in pallet assembly
2005337168,CEASED,CHEM 2 - Chemical Compounds,Phosphate biosensors and methods of using the same
2005337169,GRANTED,CHEM 3 - Pharmaceuticals,Treating or preventing renal cancer using a dimethane sulfonate
2005337178,LAPSED,CHEM 1 - Biotechnology,Recombinant influenza vectors with tandem transcription units
2005337251,LAPSED,MECH 3 - Process Engineering,Movable awning device and winding roller of external corner canvas
2005337309,LAPSED,CHEM 4 - Polymers and Applied Chemistry,System container for cooking pasta by electronic oven
2005337331,CEASED,CHEM 3 - Pharmaceuticals,Process for producing enriched fractions of tetrahydroxycurcumin and tetrahydrotetrahydroxy-curcumin from the extracts of curcuma longa
2005337361,LAPSED,,System and method for authorizing electronic payment transactions
2005337364,LAPSED,MECH 1 - Mechanical Engineering,Air-conditioning unit for mobile devices
2005337382,CEASED,ELEC 2 - Electronics and Communications,Hearing aid and a method of processing input signals in a hearing aid
2005337383,CEASED,MXT - Mixed Technology,"A method for the use in a battery alarm of a hearing aid, a circuit for monitoring an electric cell, and a hearing aid with such circuit"
2005337407,LAPSED,MECH 1 - Mechanical Engineering,Connecting lock for exhibit framework assembly
2005337411,LAPSED,ELEC 3 - Computing,Computer system and computer-based method for assessing the safety of a process industry plant
2005337415,GRANTED,MECH 2 - Construction and Mining,Apparatus and method for handling pipe sections
2005337418,GRANTED,MECH 4 - Medical Devices,Printhead maintenance station
2005337419,GRANTED,MECH 4 - Medical Devices,Printhead with elongate nozzles
2005337420,CEASED,ELEC 1 - Physics,Method of fabricating suspended beam in a mems process
2005337421,GRANTED,MECH 4 - Medical Devices,Method of maintaining a printhead using air blast cleaning
2005337422,CEASED,MECH 2 - Construction and Mining,A pipe coupling adapted for sealing the end of a pipe
2005337423,CEASED,MECH 2 - Construction and Mining,Water conservation means
2005337424,GRANTED,MECH 4 - Medical Devices,Low loss electrode connection for inkjet printhead
2005337425,GRANTED,MECH 4 - Medical Devices,Printhead maintenance assembly with film transport of ink
2005337438,CEASED,MECH 3 - Process Engineering,Hierarchical nanopatterns by nanoimprint lithography
2005337445,LAPSED,,Sucrose biosensors and methods of using the same
2005337446,LAPSED,,Methods of reducing repeat-induced silencing of transgene expression and improved fluorescent biosensors
2005337460,GRANTED,ELEC 3 - Computing,Parts marking system and method
2005337465,GRANTED,MECH 4 - Medical Devices,Medical device
2005337472,CEASED,ELEC 1 - Physics,Aquarium water heater
2005337476,GRANTED,CHEM 2 - Chemical Compounds,A Mortierella alpina C16/18 fatty acid elongase
2005337484,CEASED,CHEM 1 - Biotechnology,Optoelectronic detection system
2005337489,GRANTED,ELEC 3 - Computing,Search over structured data
2005337493,LAPSED,CHEM 3 - Pharmaceuticals,"GLP-1 agonists, compositions, methods and uses"
2005337495,LAPSED,,Low energy consumption air conditioning system
2005337502,GRANTED,MECH 3 - Process Engineering,"Conveyor, in particular, a pipe conveyor"
2005337518,GRANTED,MECH 5 - Packaging and Appliances,Method and system for fitting a hearing aid
2005337523,GRANTED,ELEC 2 - Electronics and Communications,Hearing aid comprising a data logger and method of operating the hearing aid
2005337529,CEASED,ELEC 2 - Electronics and Communications,Adapter shoe and a combination of adapter shoe and hearing aid
2005337549,GRANTED,"Vacant - A1 PBR, Plants and Biotechnology",Fungicidal control of moulds
2005337565,GRANTED,MECH 2 - Construction and Mining,"Supporting member, retaining wall structure having the same and building method thereof"
2005337580,LAPSED,MECH 2 - Construction and Mining,Luminous clothing accessory and luminous clothing fiber and luminous accessorized clothes using them
2005337582,CEASED,MXT - Mixed Technology,Method and apparatus for joining a pair of electric cables
2005337594,CEASED,MECH 1 - Mechanical Engineering,Film feeding device and packaging device with the same
2005337595,GRANTED,MECH 1 - Mechanical Engineering,Packaging device
2005337608,GRANTED,MECH 4 - Medical Devices,Stent having twist cancellation geometry
2005337612,LAPSED,CHEM 3 - Pharmaceuticals,Conditionally replicating viruses and methods for cancer virotherapy
2005337613,GRANTED,CHEM 3 - Pharmaceuticals,Sulfoalkyl ether cyclodextrin compositions and methods of preparation thereof
2005337626,LAPSED,MXT - Mixed Technology,Vertical tool storage device with a curved handle
2005337646,LAPSED,ELEC 2 - Electronics and Communications,Video storage system and method
2005337657,CEASED,CHEM 4 - Polymers and Applied Chemistry,Lift jet nozzle transferring of glass sheets and job switching
2005337673,LAPSED,MECH 4 - Medical Devices,Eye accommodation recovery
2005337686,LAPSED,,Waste bin having compacting means
2005337754,GRANTED,MECH 4 - Medical Devices,Anoscope for ano-rectal diagnostic and surgery
2005337762,GRANTED,MECH 3 - Process Engineering,Low-smoke self-extinguishing cable and flame-retardant composition comprising natural magnesium hydroxide
2005337773,CEASED,ELEC 2 - Electronics and Communications,Compact fluorescent lamp
2005337776,CEASED,CHEM 3 - Pharmaceuticals,Use of TGF-Beta1 inhibitor peptides in the preparation of an immune response modulating agent
2005337789,GRANTED,ELEC 1 - Physics,Energy cable comprising a dielectric fluid and a mixture of thermoplastic polymers
2005337795,LAPSED,MECH 3 - Process Engineering,Process and apparatus for low-NOx combustion
2005337803,GRANTED,CHEM 1 - Biotechnology,"Process for determining one or more analytes in samples of biological origin having complex composition, and use thereof"
2005337834,GRANTED,MECH 1 - Mechanical Engineering,A quick rotating device for a detached winch belt shaft
2005337836,LAPSED,MECH 1 - Mechanical Engineering,Magnetically induced aircraft landing wheel rotation
2005337855,LAPSED,,Explosive formulation
2005337856,LAPSED,,Mandrel extraction tool and method of using same
2005337873,LAPSED,CHEM 1 - Biotechnology,Nucleic acids and polypeptides useful for diagnosing and treating complications of pregnancy
2005337891,GRANTED,ELEC 2 - Electronics and Communications,Method and arrangements in a radio communication system
2005337909,LAPSED,,Shrapnel and projectile containment systems and equipment and methods for producing same
2005337943,LAPSED,,Method of drawing/ironing of resin-coated metal sheet and drawn and ironed resin-coated can formed by the same
2005337946,LAPSED,CHEM 4 - Polymers and Applied Chemistry,Method for producing thermoplastic resin composition
2005337947,GRANTED,CHEM 4 - Polymers and Applied Chemistry,Process for producing thermoplastic resin composition
2005337948,GRANTED,ELEC 2 - Electronics and Communications,Grass-cutting head with spiral guide channels for the cutting line
2005337951,LAPSED,,"Method of solidiying sugar solutions obtained from grapes and from must applied processes, concentrated rectified must, concentrated rectified juice and transformation products of vegetable origin and their derivatives"
2005337961,GRANTED,ELEC 3 - Computing,Audio compression
2005337968,GRANTED,MECH 3 - Process Engineering,A method for controlling a crusher and a crusher
2005337971,GRANTED,ELEC 2 - Electronics and Communications,A method of and a system for establishing presence of a mobile station in at least one dedicated service area of a mobile telecommunications system
2005337986,GRANTED,MECH 1 - Mechanical Engineering,"A method for prolonging and/or controlling the life of one or more heat generating and/or passive components in a wind turbine, a wind turbine, and use thereof"
2005337987,LAPSED,MECH 1 - Mechanical Engineering,A wind turbine blade comprising one or more oscillation dampers
2005338009,CEASED,MECH 2 - Construction and Mining,Suspending hydraulic pillar
2005338010,GRANTED,ELEC 3 - Computing,A method and a computer system for forecasting the value of a structured financial product
2005338015,CEASED,MECH 4 - Medical Devices,Scleral buckle band and method for making it
2005338023,GRANTED,MECH 3 - Process Engineering,Multi-layered sports board
2005338024,GRANTED,MXT - Mixed Technology,"Flame resistant fiber blends, fire and heat barrier fabrics and related process"
2005338035,CEASED,CHEM 3 - Pharmaceuticals,Immunostimulatory properties of oligonucleotide-based compounds comprising modified immunostimulatory dinucleotides
2005338050,CEASED,CHEM 2 - Chemical Compounds,Immunostimulatory properties of oligonucleotide-based compounds comprising modified immunostimulatory dinucleotides
2005338055,GRANTED,CHEM 1 - Biotechnology,Microprojectile bombardment transformation of Brassica
2005338057,GRANTED,ELEC 2 - Electronics and Communications,Route selection in wireless networks
2005338108,LAPSED,,"Ventilation grille frames, ventilation grille slats and ventilation grilles, and methods of producing a ventilation grille"
2005338138,LAPSED,,"Intramedullary, longitudinal implant"
2005338145,CEASED,MECH 3 - Process Engineering,Screwing/rolling head for pre-threaded caps
2005338227,CEASED,MECH 4 - Medical Devices,Improved fragmentable device for the anastomosis of hollow organs
2005338246,GRANTED,MXT - Mixed Technology,Multilayer structure and process for producing the same
2005338255,LAPSED,,Sand pad lock for sander
2005338260,GRANTED,ELEC 2 - Electronics and Communications,High Capacity Scheduler
2005338273,LAPSED,,Control method for actuating a thrust reverser
2005338280,CEASED,MECH 1 - Mechanical Engineering,Improved fuel efficiency for trunk piston four-stroke diesel engines
2005338298,CEASED,ELEC 2 - Electronics and Communications,Two-part protector for a pipe end which is provided with an external or internal thread
2005338302,LAPSED,ELEC 3 - Computing,A method of maintaining the operational capability of a technical installation
2005338323,GRANTED,MXT - Mixed Technology,Bone repair material
2005338325,LAPSED,,A through hole for bone fixation device
2005338333,LAPSED,,Control system for automatic circle flight
2005338350,LAPSED,CHEM 3 - Pharmaceuticals,Segmented pharmaceutical dosage forms
2005338352,CEASED,ELEC 3 - Computing,Method for field scale production optimization
2005338353,GRANTED,CHEM 3 - Pharmaceuticals,Recombinant BCG strains with enhanced ability to escape the endosome
2005338370,GRANTED,CHEM 1 - Biotechnology,Multipotent stem cells derived from human adipose tissue and cellular therapeutic agents comprising the same
2005338374,LAPSED,,Novel anaerobic reactor for the removal of long chain fatty acids from fat containing wastewater
2005338395,GRANTED,ELEC 2 - Electronics and Communications,Method and system for delivering messages in a communication system
2005338411,LAPSED,ELEC 2 - Electronics and Communications,Home network application using wirelined and wireless secure links
2005338412,GRANTED,MECH 3 - Process Engineering,Lotioned tissue paper having a short water absorption time
2005338441,GRANTED,MECH 1 - Mechanical Engineering,Aircraft seating and seating arrangements
2005338459,CEASED,MECH 2 - Construction and Mining,Apparatus and method for inserting dual weatherstrips having opposed sealing elements into a frame member
2005338461,LAPSED,MECH 5 - Packaging and Appliances,Pharmaceutical compositions of telmisartan
2005338471,LAPSED,CHEM 4 - Polymers and Applied Chemistry,Laser-accelerated proton therapy units and superconducting eletromagnetig systems for same
2005338473,LAPSED,ELEC 2 - Electronics and Communications,Repetition and correlation coding
2005338476,GRANTED,MECH 4 - Medical Devices,Male incontinence product
2005338480,GRANTED,ELEC 2 - Electronics and Communications,A method and arrangement for enabling multimedia communication
2005338519,CEASED,,Recombinant polyvalent vaccine
2005338556,GRANTED,CHEM 2 - Chemical Compounds,Novel loganin analogues and a process for the preparation thereof
2005338558,GRANTED,MECH 2 - Construction and Mining,Device for producing coffee
2005338575,LAPSED,,Plantar wearable with open shoes
2005338576,LAPSED,,Plantar for reflexological stimulation
2005338588,GRANTED,ELEC 1 - Physics,Composite material structure with embedded optical fibre and method for repairing same
2005338589,GRANTED,ELEC 1 - Physics,Composite material structure having an embedded optical fibre in one of the surface layers thereof and method for connecting and repairing same
2005338631,CEASED,CHEM 3 - Pharmaceuticals,Orally absorbed pharmaceutical formulation and method of administration
2005338632,GRANTED,CHEM 2 - Chemical Compounds,Selective terminal tagging of nucleic acids
2005338646,GRANTED,ELEC 2 - Electronics and Communications,Glove with hand-friendly coating and method of making
2005338649,GRANTED,MECH 2 - Construction and Mining,Chokeless sink strainer
2005338658,CEASED,ELEC 1 - Physics,Exercise treadmill for pulling and dragging action
2005338664,LAPSED,MECH 4 - Medical Devices,Side-loading adjustable bone anchor
2005338679,GRANTED,MECH 2 - Construction and Mining,Magnetic detacher with open access
2005338685,GRANTED,ELEC 2 - Electronics and Communications,Method and arrangement in an access system
2005338696,GRANTED,"Vacant - A1 PBR, Plants and Biotechnology",New absorbent article
2005338737,CEASED,MECH 3 - Process Engineering,Solidifying agent for fibrous treatment object and method of fixing treatment therefor
2005338771,GRANTED,MXT - Mixed Technology,A wrapping material with fastener
2005338779,GRANTED,ELEC 1 - Physics,Interactive device for legacy cockpit environments
2005338842,GRANTED,MECH 3 - Process Engineering,"A novel catalytic reactor process for the production of commercial grade pulp, native lignin and unicellular protein"
2005338846,GRANTED,ELEC 2 - Electronics and Communications,Method of modulating printhead peak power requirement using redundant nozzles
2005338854,LAPSED,ELEC 2 - Electronics and Communications,Interactive natural language calling system
2005338902,CEASED,MECH 3 - Process Engineering,A process for recovery of iron from copper slag
2005338904,LAPSED,MECH 4 - Medical Devices,"Disposable safety ""patient kit"" for medical devices"
2005338922,LAPSED,MXT - Mixed Technology,Portable and stackable plastic multipurpose container
2005338923,CEASED,MECH 2 - Construction and Mining,Upright shaft post capable of accommodating various containers
2005338929,CEASED,ELEC 2 - Electronics and Communications,Automatic tracking camera
2005338930,CEASED,ELEC 2 - Electronics and Communications,Watermarking encoded content
2005338936,CEASED,MXT - Mixed Technology,Filler material finishing tool
2005338954,LAPSED,,Absorbent product
2005338955,CEASED,CHEM 4 - Polymers and Applied Chemistry,Absorbent product
2005338967,GRANTED,MECH 4 - Medical Devices,Nonwoven material and absorbing article comprising nonwoven material
2005338968,GRANTED,MECH 4 - Medical Devices,Nonwoven material and method for producing nonwoven material
2005338973,GRANTED,ELEC 3 - Computing,Supply package for use in an apparatus for dispensing sheet material and an apparatus for dispensing sheet material
2005339009,LAPSED,MXT - Mixed Technology,Method of making elastic laminate using direct contact thermal rolls for controlling web contraction
2005339018,LAPSED,ELEC 3 - Computing,A golf cart
2005339031,LAPSED,MECH 2 - Construction and Mining,Toilet
2005339076,GRANTED,MECH 3 - Process Engineering,Bubble column-type Fischer-Tropsch synthesis slurry bed reaction system
2005339093,GRANTED,ELEC 2 - Electronics and Communications,A method for controlling the deformation of a surface of a sail of a sailing boat during a direction change manoeuvre
2005339095,LAPSED,,Improved stuffing box for pump drive head of oil well
2005339101,GRANTED,CHEM 2 - Chemical Compounds,Novel neurotrophic factor protein and uses thereof
2005339102,LAPSED,,System for filtering and removing viruses from water supply sources
2005339110,LAPSED,CHEM 1 - Biotechnology,Docosahexaenoic acid (DHA) producing thraustochytrid strain - SC1
2005339117,LAPSED,,Mixing nozzle
2005339120,LAPSED,,Flowmeter assembly
2005339121,LAPSED,,Beverage dispenser with on-demand refrigeration
2005339139,LAPSED,MXT - Mixed Technology,Pharmaceutical compositions and methods for treating or preventing oxalate-related disease
2005339148,GRANTED,MECH 3 - Process Engineering,Coated chewing gum
2005339149,LAPSED,,Method and apparatus for assisting behavioural change
2005339151,GRANTED,MECH 3 - Process Engineering,Biodegradable multicomponent fibers
2005339167,LAPSED,ELEC 2 - Electronics and Communications,Inertial voice type coil actuator
2005339180,LAPSED,,Absorbent article comprising wetness detecting means
2005339192,LAPSED,,Absorbent article
2005339193,LAPSED,,Absorbent article
2005339199,LAPSED,MECH 4 - Medical Devices,Absorbent product
2005339200,LAPSED,MECH 4 - Medical Devices,Absorbent product
2005339201,LAPSED,MECH 4 - Medical Devices,Absorbent product
2005339202,GRANTED,MECH 4 - Medical Devices,Absorbent article and method for manufacturing an absorbent article
2005339225,GRANTED,ELEC 2 - Electronics and Communications,"A wind turbine, a high current connector and uses hereof"
2005339227,CEASED,ELEC 2 - Electronics and Communications,Method and system for surveillance of a wireless connection in a hearing aid fitting system
2005339232,LAPSED,,Hybrid 3' untranslated regions suitable for efficient protein expression in mammalian cells
2005339233,GRANTED,ELEC 2 - Electronics and Communications,Method and devices for specifying the quality of service in a transmission of data packets
2005339236,GRANTED,MECH 2 - Construction and Mining,Automated dispenser with a paper sensing system
2005339238,GRANTED,MECH 2 - Construction and Mining,Dispenser loading arrangement and method of loading a dispenser
2005339243,LAPSED,CHEM 1 - Biotechnology,Process for the control of production of fine chemicals
2005339252,LAPSED,ELEC 2 - Electronics and Communications,Service designs for communications networks
2005339269,CEASED,MECH 2 - Construction and Mining,Release mechanism for downhole tool
2005339271,CEASED,MECH 3 - Process Engineering,Pyrolytic waste treatment system having dual knife gate valves
2005339274,LAPSED,,Novel compounds and methods for forming taxanes and using the same
2005339277,GRANTED,ELEC 1 - Physics,All-dielectric self-supporting cable having high fiber count
2005339299,LAPSED,MECH 4 - Medical Devices,New article
2005339307,GRANTED,MECH 4 - Medical Devices,Absorbent article comprising a liquid-permeable material layer
2005339316,LAPSED,MECH 4 - Medical Devices,Water-vapour impermeable carrier member for use in an absorbent article
2005339317,LAPSED,CHEM 4 - Polymers and Applied Chemistry,Absorbent article
2005339318,LAPSED,CHEM 4 - Polymers and Applied Chemistry,Absorbent article
2005339356,LAPSED,,Process for producing packed product
2005339365,GRANTED,ELEC 3 - Computing,Process and related plant for producing steel strips with solution of continuity
2005339386,GRANTED,MECH 1 - Mechanical Engineering,High speed watercraft suitable for rough water conditions
2005339391,LAPSED,CHEM 1 - Biotechnology,Enhancement of carotenoids in plants
2005339395,GRANTED,,A method of identifying induced variability in in vitro cultures
2005339402,GRANTED,MECH 4 - Medical Devices,"Brush, such as for cleaning or sampling body tissue"
2005339403,GRANTED,ELEC 2 - Electronics and Communications,Induced answering method and system for circuit switching-based telephony
2005339419,LAPSED,,Pneumatic tire having an asymmetric tread profile
2005339431,GRANTED,MECH 3 - Process Engineering,Air disperser for a spray dryer and a method for designing an air disperser
2005339439,GRANTED,ELEC 2 - Electronics and Communications,Apparatus and method for synthesizing three output channels using two input channels
2005339443,GRANTED,ELEC 2 - Electronics and Communications,Electric cable comprising a foamed polyolefine insulation and manufacturing process thereof
2005339456,GRANTED,ELEC 2 - Electronics and Communications,An apparatus and method for selfadapting dispersion compensation
2005339457,GRANTED,ELEC 2 - Electronics and Communications,An apparatus and method for self-adaptive dispersion compensating
2005339475,GRANTED,ELEC 1 - Physics,Vision-aided system and method for guiding a vehicle
2005339476,GRANTED,MXT - Mixed Technology,Neutralizing antibodies and methods of use thereof
2005339512,CEASED,ELEC 2 - Electronics and Communications,"Joining method and related junction for electric cables, tubular covering sleeve for electric-cable junctions and process for manufacturing the same"
2005339513,CEASED,MXT - Mixed Technology,Method of disposing a tubular sleeve on a supporting element and apparatus to put said method into practice
2005339523,GRANTED,ELEC 2 - Electronics and Communications,Fluid flow control regulator
2005339526,GRANTED,MECH 2 - Construction and Mining,Pressure relief valve
2005339535,CEASED,CHEM 2 - Chemical Compounds,New pyrrolic derivatives with histone deacetylase inhibitory activity
2005339562,CEASED,MECH 3 - Process Engineering,Mixer with pivotable bowl
2005339567,LAPSED,CHEM 1 - Biotechnology,Nucleotide sequences and corresponding polypeptides conferring modulated growth rate and biomass in plants
2005339587,GRANTED,CHEM 3 - Pharmaceuticals,Use of transcriptome-modifying agents and chemotherapy or radiotherapy against cancer
2005339589,GRANTED,MXT - Mixed Technology,"Mite composition comprising Glycyphagidae and phytoseiid mites, use thereof, method for rearing a phytoseiid predatory mite, rearing system for rearing said phytoseiid predatory mite and methods for biological pest control on a crop"
2005339594,LAPSED,MECH 3 - Process Engineering,Vacuumed-formed or injected sub shell for static reinforcement of bathub shell
2005339642,GRANTED,,Fuel supply-regulating device for a vehicle
2005339652,GRANTED,MECH 4 - Medical Devices,Magnetic beacon guidance system
2005339694,GRANTED,MXT - Mixed Technology,Variable frequency drive system apparatus and method for reduced ground leakage current and transistor protection
2005339695,LAPSED,CHEM 1 - Biotechnology,Nucleotide sequences and corresponding polypeptides conferring modulated plant growth rate and biomass in plants
2005339699,LAPSED,,Adhesively bonded dosage form
2005339702,GRANTED,CHEM 4 - Polymers and Applied Chemistry,Shelf-stable beverage composition
2005339717,LAPSED,CHEM 1 - Biotechnology,Transgenic plants with enhanced agronomic traits
2005339718,GRANTED,MXT - Mixed Technology,Bone anchors for use in attaching soft tissue to bone
2005339720,GRANTED,,Distributed content exchange and presentation system
2005339795,LAPSED,,Spheric alignment mechanism
2005339797,LAPSED,CHEM 2 - Chemical Compounds,"Human GLP-1 mimetibodies, compositions, methods and uses"
2005339865,CEASED,MXT - Mixed Technology,Piperidine and piperazine derivatives
2006202433,LAPSED,MECH 2 - Construction and Mining,Automatic squeezing machine
2006203732,GRANTED,CHEM 4 - Polymers and Applied Chemistry,Lavatory cleansing block
2006203736,GRANTED,CHEM 1 - Biotechnology,Method for reversing multiple resistance in animal cells
2006203792,GRANTED,CHEM 3 - Pharmaceuticals,Glycopegylated Granulocyte Colony Stimulating Factor
2006203794,GRANTED,MECH 4 - Medical Devices,Method and apparatus for patterned plasma-mediated laser trephination of the lens capsule and three dimensional phaco-segmentation
2006203819,LAPSED,"Vacant - A1 PBR, Plants and Biotechnology",Compounds for inhibiting beta-amyloid production and methods of identifying the compounds
2006203823,CEASED,ELEC 3 - Computing,Lottery game utilizing nostalgic game themes
2006203826,LAPSED,CHEM 3 - Pharmaceuticals,CXCR4 antagonists for the treatment of HIV infection
2006203828,GRANTED,CHEM 3 - Pharmaceuticals,CXCR4 antagonists for the treatment of medical disorders
2006203830,LAPSED,MXT - Mixed Technology,Biomarkers for melanoma
2006203832,LAPSED,CHEM 2 - Chemical Compounds,Adiponectin variants
2006203837,CEASED,CHEM 1 - Biotechnology,Nucleotide sequences encoding Ramosa3 and sister of Ramosa3 and methods of use for same
2006203840,CEASED,MECH 2 - Construction and Mining,Fence system
2006203845,LAPSED,,Novel heteropyrrole analogs acting on cannabiniod receptors
2006203850,LAPSED,,Targeted chimeric molecules for cancer therapy
2006203851,GRANTED,MXT - Mixed Technology,"Regulation of CCN2 by CCN3 and its therapeutic and diagnostic potential in fibrosis, sclerosis and other diseases"
2006203853,LAPSED,,Door handle sanitizer system and valve attachment apparatus
2006203859,LAPSED,CHEM 3 - Pharmaceuticals,Method of treating food products
2006203870,LAPSED,"Vacant - A1 PBR, Plants and Biotechnology",Insulin and leptin resistance with hyperleptinemia in mice lacking androgen receptor
2006203872,LAPSED,ELEC 3 - Computing,Provisioning and management in a message publish/subscribe system
2006203875,GRANTED,MECH 3 - Process Engineering,Fiber collecting media strip for a mist eliminator
2006203879,LAPSED,CHEM 3 - Pharmaceuticals,Methods for the treatment of lysosomal storage disorders
2006203880,LAPSED,,Tricyclic delta-opioid modulators
2006203882,GRANTED,CHEM 2 - Chemical Compounds,IGF-1 fusion polypeptides and therapeutic uses thereof
2006203884,GRANTED,CHEM 2 - Chemical Compounds,"Cancer prognostic, diagnostic and treatment methods"
2006203889,LAPSED,CHEM 3 - Pharmaceuticals,CRIPTO binding molecules
2006203890,LAPSED,CHEM 3 - Pharmaceuticals,Sustained release pharmaceutical formulations comprising ranolazine
2006203892,GRANTED,CHEM 1 - Biotechnology,Method to trigger RNA interference
2006203896,LAPSED,,Methods for altering the mineral content of foods
2006203899,LAPSED,,Biometric recognition/verification using multispectral imaging
2006203901,CEASED,CHEM 2 - Chemical Compounds,Tripeptide and tetrapeptide sulfones
2006203902,GRANTED,,Three-dimensional implantable bone support
2006203906,LAPSED,,Modular disc device
2006203909,LAPSED,MECH 4 - Medical Devices,System and method for retrograde procedure
2006203912,LAPSED,ELEC 3 - Computing,"Systems, methods, software, and interfaces for multilingual information retrieval"
2006203918,CEASED,CHEM 4 - Polymers and Applied Chemistry,Inhibitors of the 11-beta-hydroxysteroid dehydrogenase Type 1 enzyme
2006203927,GRANTED,MECH 2 - Construction and Mining,Equalizing flapper for high slam rate applications
2006203931,GRANTED,MECH 3 - Process Engineering,Engineered adsorbent structures for kinetic separation
2006203934,GRANTED,CHEM 1 - Biotechnology,RNAi modulation of RSV and therapeutic uses thereof
2006203946,CEASED,CHEM 3 - Pharmaceuticals,Compositions and methods relating to novel compounds and targets thereof
2006203947,GRANTED,"Vacant - A1 PBR, Plants and Biotechnology",Non-irritating compositions containing zinc salts
2006203948,LAPSED,CHEM 3 - Pharmaceuticals,Apolipoprotein A-II isoform as a biomarker for prostate cancer
2006203957,GRANTED,ELEC 2 - Electronics and Communications,Method for encoding messages between two devices for transmission over standard online payment networks
2006203963,LAPSED,CHEM 2 - Chemical Compounds,Inhibitors of checkpoint kinases
2006203965,LAPSED,MECH 4 - Medical Devices,Drain with occlusion removing structure
2006203967,GRANTED,MXT - Mixed Technology,Method and system for determining healthcare eligibility
2006203968,GRANTED,ELEC 3 - Computing,Auto substantiation for over-the-counter transactions
2006203970,LAPSED,CHEM 1 - Biotechnology,Polypeptides having nucleic acid binding activity
2006203974,LAPSED,CHEM 1 - Biotechnology,Target validation assay
2006203978,GRANTED,CHEM 3 - Pharmaceuticals,Surfactant treatment regimen for treating or preventing bronchopulmonary dysplasia
2006203980,CEASED,ELEC 1 - Physics,Navigation and inspection system
2006203981,CEASED,ELEC 2 - Electronics and Communications,Method and apparatus for storing and defining light shows
2006203985,LAPSED,CHEM 3 - Pharmaceuticals,"Delivery vehicles, bioactive substances and viral vaccines"
2006203989,LAPSED,,A portable vital signs measurement instrument and method of use thereof
2006203990,GRANTED,"Vacant - A1 PBR, Plants and Biotechnology",Regeneration of pancreatic islets by amniotic fluid stem cell therapy
2006203991,CEASED,MECH 2 - Construction and Mining,Vortex induced vibration optimizing system
2006204001,GRANTED,CHEM 3 - Pharmaceuticals,Monoclonal antibodies against angiopoietin-like protein 4 (ANGPTL4 )
2006204006,LAPSED,,Polypeptides having nucleic acid binding activity and compositions and methods for nucleic acid amplification
2006204010,GRANTED,MECH 4 - Medical Devices,Three-prong retractor with elastomeric sheath
